name,lat,lon,weather_description,sys_country,address,city,country,match_address,match_city,match_country
Churumuco de Morelos,18.595306,-101.476291,algo de nubes,MX,Rincón de las Truchas,Michoacán,Mexico,False,False,False
Churumuco de Morelos,18.582493,-101.949494,lluvia ligera,MX,Balsas,Michoacán,Mexico,False,False,False
Progreso,22.449865,-89.658147,lluvia ligera,MX,,,,False,False,False
Teúl de González Ortega,21.297987,-103.584528,lluvia ligera,MX,La Lagunilla,Zacatecas,Mexico,False,False,False
Ocampo,27.903163,-103.472859,cielo claro,MX,La Concordia,Coahuila de Zaragoza,Mexico,False,False,False
El Carrizo,24.139546,-106.836442,lluvia ligera,MX,El Aguaje,Sinaloa,Mexico,False,False,False
Nicolás Bravo,18.82947,-89.262336,nubes,MX,Unión 20 de Junio,Campeche,Mexico,False,False,False
Toluca,19.282733,-99.635643,algo de nubes,MX,Violeta,022,Izcalli Toluca,False,False,False
Cabo San Lucas,21.765547,-110.010759,cielo claro,MX,,,,False,False,False
Cintalapa de Figueroa,16.546715,-93.881642,nubes,MX,Coronel Luis Espinosa,Chiapas,Mexico,False,False,False
Abasolo,20.411539,-101.505487,nubes,MX,Los Otates,Guanajuato,Mexico,False,False,False
Celestún,21.550002,-91.160213,lluvia ligera,MX,,,,False,False,False
Mina,26.133451,-100.772784,nubes,MX,San Francisco,Nuevo Leon,Mexico,False,False,False
Cadereyta,20.839531,-99.661225,nubes dispersas,MX,El Membrillo,Querétaro,Mexico,False,False,False
Chuta,17.23945,-102.870491,algo de nubes,MX,,,,False,False,False
Pilar,28.549163,-110.273111,cielo claro,MX,San Marcial,Sonora,Mexico,False,False,False
Llera de Canales,23.307046,-98.745466,nubes dispersas,MX,Estación Forlon,Tamaulipas,Mexico,False,False,False
Palenque/Temp,17.34038,-92.065388,nubes,MX,Santa María,Chiapas,Mexico,False,False,False
Mazatlán,22.801731,-106.83181,muy nuboso,MX,,,,False,False,False
Etchoropo,26.577475,-110.280752,lluvia moderada,MX,,,,False,False,False
Ciudad Juárez,31.737162,-106.450954,cielo claro,MX,Avenida Paseo Triunfo de la República,Partido Escobedo,Juárez,False,False,False
Santa Bárbara,26.532194,-106.426919,muy nuboso,MX,Ejido la Pinta,Chihuahua,Mexico,False,False,False
Copala,16.074216,-99.226831,nubes dispersas,MX,,,,False,False,False
Santa Anita,23.202504,-109.704099,cielo claro,MX,San José del Cabo,Baja California Sur,Mexico,False,False,False
Jaumave,23.255503,-99.542223,muy nuboso,MX,Palmillas,Tamaulipas,Mexico,False,False,False
Cuetzala del Progreso,18.014921,-99.798309,lluvia ligera,MX,Balsas Sur,Guerrero,Mexico,False,False,False
Ejido Plan de Guadalupe,25.658742,-109.245829,nubes dispersas,MX,Santa María,Sinaloa,Mexico,False,False,False
Nuevo Progreso,23.838643,-96.677399,nubes,MX,,,,False,False,False
Heroica Caborca,30.346001,-112.321665,cielo claro,MX,El Viejo,Sonora,Mexico,False,False,False
Sayulita,21.133486,-105.861125,algo de nubes,MX,,,,False,False,False
Cosalá,24.801483,-106.40609,lluvia ligera,MX,Rancho Viejo,Durango,Mexico,False,False,False
Nuevo Progreso,23.359528,-98.13319,algo de nubes,MX,La Peña,Tamaulipas,Mexico,False,False,False
Ciudad Insurgentes,25.409144,-112.583418,cielo claro,MX,,,,False,False,False
